City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,tindouf,27.6711,-8.1474,8.25,66,0,4.63,DZ,1736750299
133,badger,64.8,-147.5333,3.95,65,0,5.14,US,1736750300
134,bredasdorp,-34.5322,20.0403,21.84,61,56,7.68,ZA,1736750301
135,hobyo,5.3505,48.5268,25.62,69,96,9.17,SO,1736750303
136,hermosillo,29.0667,-110.9667,11.03,42,0,1.54,MX,1736750304
137,mokopane,-24.1944,29.0097,19.2,95,100,2.31,ZA,1736750305
138,atafu village,-8.5421,-172.5159,28.36,76,100,8.13,TK,1736750306
139,zaozersk,69.4005,32.4476,-8.41,86,99,3.49,RU,1736750308
140,summerside,46.3959,-63.7876,-3.93,100,100,3.09,CA,1736750189
141,uturoa,-16.7333,-151.4333,26.16,89,100,10.75,PF,1736750310
142,mejit,10.2753,170.8646,26.68,78,100,10.33,MH,1736750312
143,kabalo,-6.05,26.9167,25.7,78,100,1.53,CD,1736750313
144,gargalianoi,37.0667,21.6333,12.97,86,100,5.13,GR,1736750314
145,pisco,-13.7,-76.2167,21.03,78,0,0.51,PE,1736750316
146,motygino,58.1831,94.7592,-17.24,95,100,2.62,RU,1736750317
147,whitehorse,60.7161,-135.0538,2.43,69,75,8.75,CA,1736750318
148,ancud,-41.8697,-73.8203,8.35,84,37,2.66,CL,1736750232
149,palu,-0.8917,119.8707,29.11,84,97,1.84,ID,1736750321
150,lewiston orchards,46.3804,-116.9754,3.26,86,100,1.54,US,1736750322
151,pyin oo lwin,22.0333,96.4667,21.99,42,1,2.44,MM,1736750324
152,carbonear,47.7332,-53.2148,0.19,89,100,9.02,CA,1736750325
153,lompoc,34.6391,-120.4579,5.63,81,0,2.06,US,1736750326
154,mpika,-11.8343,31.4529,20.5,76,100,0.64,ZM,1736750328
155,asahikawa,43.7678,142.3703,-5.44,93,75,2.06,JP,1736750329
156,port lincoln,-34.7333,135.8667,23.57,61,0,7.54,AU,1736750174
157,idabel,33.8957,-94.8263,3.26,87,0,6.17,US,1736750326
158,kone,-21.0595,164.8658,26.31,69,98,0.17,NC,1736750333
159,kabansk,52.0486,106.6528,-11.49,79,100,5.68,RU,1736750334
160,sussex,41.1834,-74.6663,-0.33,76,100,1.54,US,1736750336
161,tofol,5.3248,163.0078,29.88,74,75,3.09,FM,1736750337
162,la passe,45.5549,-0.8967,-0.03,82,6,5.11,FR,1736750338
163,port pirie,-33.1833,138.0167,31.03,26,0,8.0,AU,1736750340
164,aripuana,-9.1667,-60.6333,22.57,99,100,0.26,BR,1736750341
165,ichchapuram,19.1167,84.7,25.92,47,0,2.94,IN,1736750342
166,fortuna,40.5982,-124.1573,7.74,80,0,6.17,US,1736750344
167,severo-yeniseyskiy,60.3725,93.0408,-17.94,93,100,3.73,RU,1736750345
168,rumyantsevo,55.9728,36.5342,-3.77,94,90,2.3,RU,1736750346
169,arraial do cabo,-22.9661,-42.0278,23.22,75,9,1.39,BR,1736750347
170,longboat key,27.4125,-82.659,13.34,50,0,4.12,US,1736750349
171,xiaoshi,41.2971,124.1209,-3.24,58,72,2.6,CN,1736750350
172,alotau,-10.3069,150.4462,27.73,89,100,0.55,PG,1736750351
173,taltal,-25.4,-70.4833,18.55,84,1,0.76,CL,1736750353
174,harper,4.375,-7.7169,26.3,80,100,1.83,LR,1736750355
175,vorgashor,67.5833,63.95,-17.35,94,100,6.9,RU,1736750356
176,forres,57.6113,-3.6108,11.94,75,75,8.23,GB,1736750357
177,choibalsan,48.0667,114.5,-8.84,43,92,6.14,MN,1736750359
178,lazaro cardenas,17.9583,-102.2,22.3,87,0,1.98,MX,1736750361
179,eyl,7.9803,49.8164,26.81,52,19,9.45,SO,1736750362
180,shingu,33.7333,135.9833,8.88,56,7,4.63,JP,1736750355
181,puerto leguizamo,-0.1934,-74.7819,20.79,82,100,0.95,CO,1736750364
182,tamanrasset,22.785,5.5228,5.95,22,0,2.57,DZ,1736750366
183,imbituba,-28.24,-48.6703,17.76,87,0,1.77,BR,1736750174
184,lumphat,13.4878,106.9816,30.55,33,15,3.65,KH,1736750369
185,falam,22.9167,93.6833,24.36,21,0,0.36,MM,1736750370
186,thompson,55.7435,-97.8558,-23.91,77,40,2.57,CA,1736750371
187,hawaiian paradise park,19.5933,-154.9731,20.73,96,75,2.06,US,1736750373
188,belmonte,-15.8631,-38.8828,23.6,96,42,3.29,BR,1736750375
189,sawa sawa,-4.4717,39.4846,27.31,75,74,6.38,KE,1736750376
190,pursat,12.3333,103.6667,25.4,38,43,1.78,KH,1736750377
191,portland,45.5234,-122.6762,4.69,95,0,0.89,US,1736750157
192,abeche,13.8292,20.8324,20.13,19,8,4.72,TD,1736750381
